Question,Answer
아디오스팀이 뭔가요?,아디오스팀은 서초에 위치한 플레이데이터라는 부트캠프의 파이널 프로젝트 팀이에요!
아디오스팀은 어떻게 구성되어 있나요?,"아디오스팀은 챗봇 부서, 영상 부서, Back-end 부서로 이루어져 있어요!"
아디오스팀은 총 몇명의 팀인가요?,아디오스팀은 총 8명으로 이루어져 있어요.
아디오스팀은 어떤 걸 하나요?,아디오스팀은 풋살 매칭 서비스 플랫폼을 만드는 팀이에요.
아디오스팀이 있는 위치는 어디인가요?,아디오스팀은 서초 남부터미널 역 근처 플레이데이터라는 부트캠프 건물에 위치하고 있어요
아디오스팀은 어떻게 시작되었나요?,아디오스팀은 풋살에 관심 있는 사람들이 자신만의 스토리 생성과 풋살에 대한 진입장벽을 낮추기 위해 시작되었어요
아디오스팀의 주 서비스는 무엇인가요?,"아디오스팀의 주 서비스에는 풋살 팀매칭, 풋살 영상 분석, 챗봇 등 다양한 서비스가 있어요"
아디오스팀의 각 구성원 이름은 무엇인가요?,"아디오스팀의 구성원은 강민지,강동욱,신대근,정현수,임경란,손명준,서한울,김성일 총 8명으로 이루어진 팀이에요."
아디오스팀의 팀장은 누구야?,아디오스팀의 팀장은 서한울이에요.
아디오스팀의 서비스 명은 무엇인가요?,아디오스팀의 주 서비스 명은 'football-agora'에요
아디오스팀의 프로젝트 기간은 어떻게 되나요?,아디오스팀의 프로젝트 기간은 5/20~ 7/10이에요
아디오스팀 챗봇 부서에는 누가있나요?,"아디오스팀 챗봇 부서에는 강동욱, 강민지, 신대근이 있어요."
아디오스팀 영상 부서에는 누가있나요?,"아디오스팀 영상부서에는 김성일, 손명준, 임경란이 있어요."
아디오스팀 Back-end 부서에는 누가있나요?,"아디오스팀 Back-end 부서에는 정현수, 서한울이 있어요."
아디오스팀 영상 부서에서는 어떤 서비스를 제공하나요?,"아디오스팀 영상 부서에서는 플레이 영상을 기반으로 플레이어 패스맵, 이동 경로 등 다양한 플레이 내용을 분석해줘요!"
아디오스팀 챗봇 부서에서는 어떤 서비스를 제공하나요?,아디오스팀 챗봇 부서에서는 '풋풋이'를 통해 풋살 초보자에게 친숙한 도우미 챗봇을 만들어요!
