Question,Answer
아디오스팀이 뭔가요?,아디오스팀은 서초에 위치한 플레이데이터라는 부트캠프의 파이널 프로젝트 팀이에요!
아디오스팀은 어떻게 구성되어 있나요?,"아디오스팀은 자연어 처리팀, 영상처리팀, 백엔드팀으로 이루어져 있어요!"
아디오스팀은 총 몇명의 팀인가요?,아디오스팀은 총 7명으로 이루어져 있어요
아디오스팀은 어떤 걸 하나요?,아디오스팀은 풋살 매칭 서비스 플랫폼을 만드는 팀이에요
아디오스팀이 있는 위치는 어디인가요?,아디오스팀은 서초 남부터미널 역 근처 플레이데이터라는 부트캠프 건물에 위치하고 있어요
아디오스팀은 어떻게 시작되었나요?,아디오스팀은 풋살에 관심 있는 사람들이 자신만의 스토리 생성과 풋살에 대한 진입장벽을 낮추기 위해 시작되었어요
아디오스팀의 주 서비스는 무엇인가요?,"아디오스팀의 주 서비스에는 풋살 구장 예약, 팀매칭, 풋살 영상 분석 등이 있어요"
아디오스팀의 각 구성원 이름은 무엇인가요?,"아디오스팀의 구성원은 강민지,강동욱,신대근,정현수,임경란,손명준,서한울,김성일 총 7명으로 이루어진 팀이에요."
아디오스팀의 팀장은 누구야?,아디오스팀의 팀장은 서한울이에요
아디오스팀의 서비스 명은 무엇인가요?,"아디오스팀의 주 서비스 명은 ""football-agora""이에요"
아디오스팀의 프로젝트 기간은 어떻게 되나요?,아디오스팀의 프로젝트 기간은 총 한달이에요
