Question,Answer
구장의 예약 가능한 시간은 어떻게 확인하나요?,예약할 구장과 날짜를 선택하면 예약 가능한 시간이 하늘색으로 표시가 됩니다. 이 중 원하는 시간을 선택해 결제를 진행하면 됩니다.
당일에도 예약이 가능한가요?,구장 예약은 이용 1시간 전까지 가능합니다.
예약 시간은 언제 오픈되나요?,FA 의 예약 일정은 매일 자정(00:00)에 하루씩 30일 이후의 일정까지만 오픈 됩니다.
예약 일정은 어떻게 변경하나요?,FA 문의팀에 문의해 주세요
내 예약 내역은 어떻게 확인하나요?,예약 내역은 다음과 같이 확인 할 수 있습니다.- PC1) 사이트 접속2) 로그인 후 우측상단 마이페이지3) 좌측 내 정보 메뉴4) 예약 현황- 모바일1) 사이트 혹은 앱 접속2) 로그인 후 우측상단 메뉴버튼3) 좌측 내 정보 탭4) 예약 현황
법인 카드로 결제 가능한가요?,법인카드도 온라인 결제가 가능합니다.
예약자와 입급자가 달라도 되나요?,결제 수단에 따라 입금자명 확인이 다릅니다.- 계좌 이체: 입금자명과 예약자명이 다를 경우 입금 확인 및 예약 확정에 어려움이 있으니 명의를 통일해 주세요.- 가상계좌 입금: 입금자명과 예약자명이 달라도 무방합니다. 입금 후 예약이 바로 확정됩니다.
결제 수단에는 어떤 것이 있나요?,구장 예약 시 아래의 결제 수단을 이용할 수 있습니다.- 계좌 이체- 가상계좌 이체- 온라인 신용(체크)카드 결제
결제 영수증을 발급 받고싶어요.,결제 영수증은 다음과 같이 발급 가능합니다.- PC1) 사이트 접속2) 로그인 후 우측상단 마이페이지3) 좌측 내 정보 메뉴4) 예약 현황5) 해당 예약건 우측 결제 영수증- 모바일1) 사이트 혹은 앱 접속2) 로그인 후 우측상단 메뉴버튼3) 좌측 내 정보 탭4) 예약 현황5) 해당 예약건 하단 결제 영수증
결제 방법을 변경하고 싶어요.,"구장 이용 전 변경은 카카오톡 채널로 문의해 주시면 확인 후 안내해 드려요 :)카카오톡 검색 : FA(평일, 주말 10시 ~ 23시)"
계좌번호를 받았는데 입금이 안돼요.,"다음과 같은 경우 가상계좌 인식이 되지 않습니다.- 가상계좌 이체가 불가능한 앱 사용: 토스, 국민은행 리브, 농협 올원페이- 은행 점검시간 (23:30 ~ 00:30)- 안내된 입금 정보(은행명, 계좌번호, 예금주)와 다르게 입력"
구장 예약을 환불받고 싶은데 어떻게 하나요?,"   카카오톡 채널로 아래의 내용을 작성해서 보내주시면 확인 후 안내해 드려요 :)예약한 구장의 환불 규정을 먼저 확인 후 문의해 주세요!카카오톡 검색 : FA(평일, 주말 10시 ~ 23시)- 예약 구장 :- 예약 날짜,시간 :- 예약자명 :- 결제수단(가상계좌,카드결제) :- 환불정보(은행명, 계좌번호, 예금주) : (가상계좌로 입금한 경우에만 남겨주세요)"
환불규정을 알고 싶어요.,"환불 규정 확인은 다음과 같이 가능합니다.- PC1) 사이트 접속2) 구장 선택 (예약 버튼 클릭)3) 아래 환불규정, 변경규정 확인하기- 모바일1) 사이트 혹은 앱 접속2) 구장 선택3) 구장 사진 클릭4) 아래 환불 및 변경 규정 확인하기"
날씨가 좋지않아서 환불하고 싶어요.,"예약한 구장의 날씨에 의한 환불 및 변경 규정을 먼저 확인 후 문의해 주세요!카카오톡 검색 : FA(평일, 주말 10시 ~ 23시)└ 상담시간이 아닐 경우 기상청 화면의 환불, 변경 가능한 조건을 캡쳐해서 남겨주세요! 그렇지 않으면 후속 안내를 해드리기가 어렵습니다.- 예약 구장 :- 예약 날짜,시간 :- 예약자명 :- 결제수단(가상계좌,카드결제) :- 환불정보(은행명, 계좌번호, 예금주): 환불이 가능한 경우에만 남겨주세요.- 변경정보(변경하려는 일시): 변경이 가능한 경우에만 남겨주세요."
